Caso,Query_ID,Modelo,F1@10,Posicao,Doc_ID,Score,Relevancia,Texto
1,158,Vetorial,0.2222222222222222,1,302,0.3497,1,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,2,691,0.2373,0,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,3,949,0.2368,0,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,4,552,0.214,2,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,5,1199,0.2117,0,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,6,328,0.2062,0,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,7,1157,0.1949,0,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,8,586,0.1923,0,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,9,405,0.1861,0,what are the available properties of high-temperature air .
1,158,Vetorial,0.2222222222222222,10,59,0.1858,0,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,1,302,13.2197,1,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,2,691,10.6761,0,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,3,552,10.6336,2,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,4,949,10.3013,0,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,5,1199,9.5656,0,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,6,328,9.5108,0,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,7,1011,9.3002,1,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,8,1230,8.9761,0,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,9,982,8.9075,0,what are the available properties of high-temperature air .
1,158,BM25,0.4444444444444445,10,1010,8.818,3,what are the available properties of high-temperature air .
1,73,Vetorial,0.2666666666666666,1,332,0.4221,2,"what role does the effect of chemical reaction (particularly when out of
equilibrium) play in the similitude laws governing hypersonic flows over
slender aerodynamic bodies ."
1,73,Vetorial,0.2666666666666666,2,573,0.3507,3,"what role does the effect of chemical reaction (particularly when out of
equilibrium) play in the similitude laws governing hypersonic flows over
slender aerodynamic bodies ."
1,73,Vetorial,0.2666666666666666,3,541,0.3004,-1,"what role does the effect of chemical reaction (particularly when out of
equilibrium) play in the similitude laws governing hypersonic flows over
slender aerodynamic bodies ."
1,73,Vetorial,0.2666666666666666,4,517,0.2193,0,"what role does the effect of chemical reaction (particularly when out of
equilibrium) play in the similitude laws governing hypersonic flows over
slender aerodynamic bodies ."
1,73,Vetorial,0.2666666666666666,5,488,0.2127,0,"what role does the effect of chemical reaction (particularly when out of
equilibrium) play in the similitude laws governing hypersonic flows over
slender aerodynamic bodies ."
